stretch_upper_bound, avg_stretch, max_stretch
2, 1.0070030013857199, 2.0
3, 1.04631179128736, 3.0
4, 1.150075815605759, 4.0
5, 1.2871209825266305, 5.0
6, 1.4368510879186025, 6.0
7, 1.5903455415249155, 7.0
8, 1.7531159090519088, 8.0
9, 1.9077411407505953, 9.0
10, 2.056213228575479, 10.0
11, 2.2115375114351346, 11.0
12, 2.3480703522251662, 12.0
13, 2.5034924169220916, 13.0
14, 2.654627740347008, 14.0
15, 2.8009135644541474, 15.0
16, 2.9309530236868158, 16.0
17, 3.081974805815056, 17.0
18, 3.231160929734985, 18.0
19, 3.3098011101670455, 19.0
20, 3.4797888305537357, 20.0
