stretch_upper_bound, avg_stretch, max_stretch
2, 1.0008689968215734, 2.0
3, 1.0030039905350974, 3.0
4, 1.0166246619754413, 4.0
5, 1.0491582686572085, 5.0
6, 1.1049297886739877, 6.0
7, 1.160273903300155, 7.0
8, 1.2357664483515058, 8.0
9, 1.3086019449838575, 9.0
10, 1.3786651176234572, 10.0
11, 1.4697991414725622, 11.0
12, 1.562795128912166, 12.0
13, 1.65222135755719, 13.0
14, 1.741006749068108, 14.0
15, 1.7987674869025427, 15.0
16, 1.8820007991837204, 16.0
17, 1.9872538744539163, 17.0
18, 2.041587181874577, 18.0
19, 2.1326456395770848, 19.0
20, 2.2155303929431396, 20.0
21, 2.28613135767767, 21.0
22, 2.3272173803749596, 22.0
23, 2.3992484765881286, 23.0
24, 2.479515734624962, 24.0
25, 2.5612239331993454, 25.0
26, 2.6514666731562917, 26.0
27, 2.707605699840463, 27.0
28, 2.736821458341959, 28.0
29, 2.8333527939309775, 29.0
30, 2.8733015858704047, 30.0
31, 3.01904851680729, 31.0
32, 3.0767062132866387, 32.0
