stretch_upper_bound, avg_stretch, max_stretch
2, 1.0010605166925295, 2.0
3, 1.0023587647888605, 3.0
4, 1.012413593792199, 4.0
5, 1.0321951571180283, 5.0
6, 1.0592997767622994, 6.0
7, 1.1057251314496894, 7.0
8, 1.1612288749727573, 8.0
9, 1.2146136523456479, 9.0
10, 1.276852775293058, 10.0
11, 1.3582305634067793, 11.0
12, 1.4353322246178553, 12.0
13, 1.5067744451715328, 13.0
14, 1.5891058395502822, 14.0
15, 1.668229724888438, 15.0
16, 1.7297888895883362, 16.0
17, 1.7867492481454637, 17.0
18, 1.8635616820366117, 18.0
19, 1.9433331910061138, 19.0
20, 1.9941531653093858, 20.0
21, 2.127090359519886, 21.0
22, 2.1601779366582234, 22.0
23, 2.1835737586266153, 23.0
24, 2.2428623951744004, 24.0
25, 2.3028130380465917, 25.0
26, 2.4387058289048467, 26.0
27, 2.5000004495113015, 27.0
28, 2.5001786178988996, 28.0
29, 2.6180421804388687, 29.0
30, 2.5992711689706525, 30.0
31, 2.6412391146950704, 31.0
32, 2.657779379089777, 32.0
33, 2.77002319548924, 33.0
34, 2.92840277872051, 34.0
35, 2.8812070953942728, 35.0
36, 2.9205840057144123, 36.0
37, 2.9218543673691637, 37.0
38, 3.0261513391019714, 37.0
39, 2.91082032818815, 39.0
40, 3.181981771570203, 40.0
