stretch_upper_bound, avg_stretch, max_stretch
2, 1.0046696874660792, 2.0
3, 1.0305161941527312, 3.0
4, 1.1120967775785482, 4.0
5, 1.2340809103153665, 5.0
6, 1.377945571924735, 6.0
7, 1.5250594346528552, 7.0
8, 1.6752347765026026, 8.0
9, 1.8236764247426727, 9.0
10, 1.9759482756772357, 10.0
11, 2.1231520169918996, 11.0
12, 2.272139323212843, 12.0
13, 2.419582876381215, 13.0
14, 2.549397828506621, 14.0
15, 2.6953310805493733, 15.0
16, 2.8467933636273592, 16.0
17, 2.966350625410577, 17.0
18, 3.1023010171805123, 18.0
19, 3.231773609642758, 19.0
20, 3.3623836900810002, 20.0
21, 3.498406631859633, 21.0
22, 3.633106985618669, 22.0
