stretch_upper_bound, avg_stretch, max_stretch
2, 1.0076457145713897, 2.0
3, 1.107171635491287, 3.0
4, 1.3100560606037654, 4.0
5, 1.5514703586808953, 5.0
6, 1.794146484637363, 6.0
7, 2.0269069907056627, 7.0
8, 2.254193002650119, 8.0
