stretch_upper_bound, avg_stretch, max_stretch
2, 1.040892886142445, 2.0
3, 1.1607385714700382, 3.0
4, 1.2607064078846597, 4.0
5, 1.2901353028868185, 5.0
6, 1.3007872271288083, 6.0
7, 1.328072203351778, 7.0
8, 1.3909164356940855, 8.0
9, 1.3984622217464484, 8.0
10, 1.4072953121301113, 10.0
11, 1.4072953121301113, 10.0
12, 1.4072953121301113, 10.0
13, 1.4072953121301113, 10.0
14, 1.4072953121301113, 10.0
15, 1.4072953121301113, 10.0
16, 1.4072953121301113, 10.0
