stretch_upper_bound, avg_stretch, max_stretch
2, 1.0303303303303, 2.0
3, 1.1719883216551983, 3.0
4, 1.4223061394724996, 4.0
5, 1.6787459125791333, 5.0
6, 1.9256815148479753, 6.0
7, 2.158022856189473, 7.0
8, 2.377257424090868, 8.0
