stretch_upper_bound, avg_stretch, max_stretch
2, 1.0005845523023658, 2.0
3, 1.0041886991000835, 3.0
4, 1.0032471063630422, 4.0
5, 1.0065041093285945, 5.0
6, 1.018007523335855, 6.0
7, 1.0335275027397726, 7.0
8, 1.0490874560757617, 8.0
9, 1.0758774204572312, 9.0
10, 1.1125838413891886, 10.0
11, 1.1531709651745325, 11.0
12, 1.1970983891189877, 12.0
13, 1.2444860457163602, 13.0
14, 1.2981946131037108, 14.0
15, 1.3548126318781644, 15.0
16, 1.4080989179575156, 16.0
17, 1.4585933039525434, 17.0
18, 1.5138092252346624, 18.0
19, 1.5640518603349607, 19.0
20, 1.6256352820846143, 20.0
