n, orig, approx, max, diam, iter
1124, 1, 69.6, 124.0, 23, 20
1124, 1, 53.6, 124.0, 23, 20
1124, 1, 48.0, 124.0, 23, 20
1124, 1, 39.6, 124.0, 23, 20
1124, 1, 34.4, 60.0, 23, 20
2113, 1, 34.8, 60.0, 22, 20
2113, 1, 71.6, 124.0, 22, 20
2113, 1, 78.4, 124.0, 22, 20
2113, 1, 48.8, 124.0, 22, 20
2113, 1, 62.0, 124.0, 22, 20
3294, 1, 44.4, 124.0, 25, 20
3294, 1, 61.2, 124.0, 25, 20
3294, 1, 50.8, 124.0, 25, 20
3294, 1, 46.4, 124.0, 25, 20
3294, 1, 61.6, 124.0, 25, 20
4169, 1, 64.8, 124.0, 29, 20
4169, 1, 63.6, 124.0, 29, 20
4169, 1, 45.2, 124.0, 29, 20
4169, 1, 72.8, 124.0, 29, 20
4169, 1, 44.8, 124.0, 29, 20
5295, 1, 67.2, 124.0, 27, 20
5295, 1, 45.2, 124.0, 27, 20
5295, 1, 57.2, 124.0, 27, 20
5295, 1, 49.2, 124.0, 27, 20
5295, 1, 66.4, 124.0, 27, 20
6118, 1, 60.8, 124.0, 26, 20
6118, 1, 47.6, 124.0, 26, 20
6118, 1, 48.0, 124.0, 26, 20
6118, 1, 62.8, 124.0, 26, 20
6118, 1, 88.0, 124.0, 26, 20
7343, 1, 67.2, 124.0, 30, 20
7343, 1, 66.4, 124.0, 30, 20
7343, 1, 51.6, 124.0, 30, 20
7343, 1, 62.4, 124.0, 30, 20
7343, 1, 76.4, 124.0, 30, 20
8500, 1, 76.4, 124.0, 33, 20
8500, 1, 57.2, 124.0, 33, 20
8500, 1, 45.2, 124.0, 33, 20
8500, 1, 56.0, 124.0, 33, 20
8500, 1, 60.8, 124.0, 33, 20
9445, 1, 47.6, 124.0, 30, 20
9445, 1, 82.4, 124.0, 30, 20
9445, 1, 67.2, 124.0, 30, 20
9445, 1, 60.0, 124.0, 30, 20
9445, 1, 68.0, 124.0, 30, 20
10478, 1, 62.4, 124.0, 32, 20
10478, 1, 78.0, 124.0, 32, 20
10478, 1, 88.0, 252.0, 32, 20
10478, 1, 42.8, 124.0, 32, 20
10478, 1, 60.8, 124.0, 32, 20
