n, orig, approx, max, diam, iter
994, 1, 44.8, 124.0, 27, 20
994, 1, 44.8, 124.0, 27, 20
994, 1, 34.8, 124.0, 27, 20
994, 1, 38.0, 124.0, 27, 20
994, 1, 62.8, 124.0, 27, 20
2042, 1, 68.8, 252.0, 29, 20
2042, 1, 51.2, 124.0, 29, 20
2042, 1, 67.6, 252.0, 29, 20
2042, 1, 38.8, 60.0, 29, 20
2042, 1, 65.6, 124.0, 29, 20
3130, 1, 43.6, 124.0, 33, 20
3130, 1, 63.6, 252.0, 33, 20
3130, 1, 58.0, 124.0, 33, 20
3130, 1, 57.2, 124.0, 33, 20
3130, 1, 58.4, 124.0, 33, 20
4171, 1, 73.2, 124.0, 28, 20
4171, 1, 62.4, 124.0, 28, 20
4171, 1, 51.6, 124.0, 28, 20
4171, 1, 55.6, 124.0, 28, 20
4171, 1, 68.8, 124.0, 28, 20
5128, 1, 63.6, 124.0, 35, 20
5128, 1, 58.0, 124.0, 35, 20
5128, 1, 61.6, 124.0, 35, 20
5128, 1, 52.0, 124.0, 35, 20
5128, 1, 44.8, 124.0, 35, 20
6133, 1, 67.2, 124.0, 32, 20
6133, 1, 74.4, 124.0, 32, 20
6133, 1, 52.4, 124.0, 32, 20
6133, 1, 69.6, 252.0, 32, 20
6133, 1, 46.8, 124.0, 32, 20
7241, 1, 61.2, 124.0, 39, 20
7241, 1, 70.8, 252.0, 39, 20
7241, 1, 62.0, 124.0, 39, 20
7241, 1, 60.4, 124.0, 39, 20
7241, 1, 69.6, 124.0, 39, 20
8227, 1, 58.8, 124.0, 32, 20
8227, 1, 45.2, 124.0, 32, 20
8227, 1, 89.6, 252.0, 32, 20
8227, 1, 110.0, 252.0, 32, 20
8227, 1, 80.4, 252.0, 32, 20
9435, 1, 73.2, 124.0, 32, 20
9435, 1, 72.0, 124.0, 32, 20
9435, 1, 56.0, 124.0, 32, 20
9435, 1, 47.2, 124.0, 32, 20
9435, 1, 73.2, 252.0, 32, 20
10227, 1, 69.2, 124.0, 36, 20
10227, 1, 84.0, 252.0, 36, 20
10227, 1, 100.0, 252.0, 36, 20
10227, 1, 52.0, 124.0, 36, 20
10227, 1, 78.8, 124.0, 36, 20
